d2 r1 r2
0.25529999999999997 2.2325 1.8775
0.12389999999999998 1.8505 2.0865
0.2535 1.8535 2.0765
0.1473 2.0155 2.1105
0.2307 2.1675 2.2045
0.0681 2.0524999999999998 2.1094999999999997
0.24389999999999998 2.2335 2.1245
0.2541 1.9224999999999999 1.9235
0.17609999999999998 1.9115 1.8385
0.21269999999999997 2.0065 2.2435
0.0843 2.1665 2.1134999999999997
0.1299 2.2255 2.1305
0.041100000000000005 2.0035 2.2535
0.12209999999999999 2.0615 2.1864999999999997
0.21089999999999998 1.9605 2.0015
0.1371 2.1395 2.2445
0.2427 1.9325 1.9815
0.1815 1.9905 1.8785
0.051899999999999995 1.9545 1.9545
0.1995 2.1925 2.0415
0.0645 1.9585 1.8895
0.0945 2.0235 1.9155
0.18089999999999998 2.1755 1.8865
0.1425 1.9685 2.1385
0.06149999999999999 2.0444999999999998 2.1925
0.2001 2.1235 2.0204999999999997
0.1797 2.1014999999999997 2.0564999999999998
0.08549999999999999 2.1784999999999997 2.1944999999999997
0.06269999999999999 1.9465 2.0685
0.17489999999999997 1.9125 2.2325
0.1437 1.8685 1.9555
0.2343 1.8885 1.8345
0.0801 2.1585 1.9975
0.2583 1.8445 2.1725
0.1509 1.9775 2.2455
0.0993 2.2095 2.0345
0.1827 2.1345 1.9325
0.21389999999999998 2.2754999999999996 2.0595
0.2283 1.8875 1.9895
0.10769999999999999 2.0404999999999998 2.2264999999999997
0.21869999999999998 2.1614999999999998 1.9405000000000001
0.2085 2.0645 2.1425
0.2739 1.8515 2.2415
0.25289999999999996 2.2135 2.0095
0.0237 2.2295 1.8805
0.1863 2.0695 1.9195
0.2595 2.1525 1.8255000000000001
0.1581 1.8545 1.8745
0.2133 1.9945 1.9615
0.2745 1.9625 1.9965
0.0399 1.9035 2.2394999999999996
0.0789 2.1125 2.0425
0.20909999999999998 2.2415 1.8535
0.2853 2.2085 2.0815
0.0405 2.0315 1.9785
0.0297 2.1944999999999997 2.2464999999999997
0.2811 2.0805 2.0105
0.14429999999999998 2.1374999999999997 2.1895
0.20370000000000002 1.8865 2.0745
0.24509999999999998 2.0585 2.1955
0.2793 1.8135000000000001 2.2824999999999998
0.25229999999999997 2.0225 2.0705
0.1389 2.1134999999999997 2.0775
0.0465 2.1045 1.9045
0.0783 1.8625 2.1235
0.1557 2.0105 1.8365
0.2379 2.1534999999999997 2.0854999999999997
0.10409999999999998 1.9745 2.1325
0.1419 1.9025 2.0545
0.1893 2.2455 2.2085
0.062099999999999995 2.1075 2.1254999999999997
0.0597 2.2245 2.2205
0.1929 2.2565 2.0195
0.1833 1.8745 1.9465
0.0951 2.0745 2.1025
0.17789999999999997 2.1225 2.1614999999999998
0.0501 1.9985 1.9065
0.2703 2.1805 2.2095
0.1563 2.0355 1.9005
0.10469999999999999 1.8895 1.8845
0.1347 1.8155000000000001 1.9725
0.1059 1.8615 2.0315
0.1353 2.0865 1.9215
0.26189999999999997 1.9344999999999999 2.2845
0.0969 1.9555 1.8835
0.2577 1.9485 2.1854999999999998
0.0537 2.0905 2.2605
0.16949999999999998 1.8565 2.1055
0.11069999999999999 1.8585 2.1435
0.0639 2.1485 2.2525
0.1767 1.9475 2.1784999999999997
0.0861 2.2165 2.1515
0.07289999999999999 1.9975 2.1014999999999997
0.24330000000000002 1.8835 2.0435
0.2721 1.8965 1.8945
0.2925 1.9264999999999999 1.9685
0.1329 2.2045 1.9865
0.28169999999999995 1.9705 1.8245
0.0069 2.0965 1.9075
0.2823 2.0545 1.9145
0.21689999999999998 2.1035 1.9055
0.1197 2.1245 2.2855
0.21509999999999999 2.2784999999999997 2.1915
0.1017 1.8525 1.8425
0.2799 2.2845 2.0284999999999997
0.0093 2.2685 2.1505
0.1449 2.0255 2.0505
0.0387 1.9255 2.0185
0.2019 2.0685 2.0934999999999997
0.1251 2.2315 2.1805
0.1005 2.1475 2.2365
0.1173 1.8065 2.0324999999999998
0.1917 1.9635 2.2335
0.2895 2.1205 1.9565
0.1527 1.8145 2.1795
0.14309999999999998 2.1185 2.1414999999999997
0.2883 1.9995 1.9425
0.2949 1.8455 1.8595
0.0026999999999999997 1.8765 2.2064999999999997
0.2361 1.8185 2.2675
0.19770000000000001 2.2554999999999996 2.2765
0.0489 2.2235 2.2794999999999996
0.2631 2.0564999999999998 1.8125
0.0303 1.8665 2.2744999999999997
0.2415 1.9885 1.9935
0.2409 2.1995 2.1825
0.0921 1.8015 2.1494999999999997
0.12689999999999999 1.9085 1.8435
0.0915 1.8085 2.2495
0.24989999999999998 2.0955 1.9445
0.0189 1.8705 1.8295000000000001
0.0243 1.8225 2.2175
0.2829 1.9525 2.2344999999999997
0.0705 1.8095 1.8305
0.2241 2.2624999999999997 2.1145
0.2889 1.9235 2.0695
0.13169999999999998 1.8645 2.2615
0.0981 2.1414999999999997 2.0785
0.2655 1.9105 2.0065
0.24749999999999997 2.0625 2.1174999999999997
0.1851 2.2355 2.1525
0.23249999999999998 2.2424999999999997 2.2304999999999997
0.1533 2.2525 2.2195
0.0339 1.8075 1.8205
0.0171 1.9865 2.2784999999999997
0.2685 2.0465 1.9695
0.08370000000000001 2.2775 2.2565
0.08729999999999999 2.2595 2.0515
0.1755 2.2115 2.2504999999999997
0.0201 1.9835 2.1755
0.2349 2.2575 2.0235
0.29969999999999997 2.2925 1.8335000000000001
0.1497 2.0655 1.8505
0.0081 1.9295 2.2584999999999997
0.20669999999999997 2.1115 1.9635
0.2727 1.9615 1.8855
0.28709999999999997 1.8215000000000001 2.2015
0.0579 1.8435 2.2375
0.0123 1.8355000000000001 2.1534999999999997
0.2301 2.1935 2.1225
0.1617 2.0735 1.9585
0.0525 2.2914999999999996 1.9355
0.1137 2.2765 2.2184999999999997
0.0021 2.0435 2.1294999999999997
0.2175 2.0705 2.0075
0.2973 1.9565 2.2925
0.09269999999999999 2.1715 2.2935
0.1989 1.9275 1.8575
0.1335 2.2024999999999997 1.8105
0.24929999999999997 1.8205 1.9205
0.2763 1.8305 1.9805
0.0603 1.8345 2.1585
0.005699999999999999 2.1155 2.1715
0.0777 1.8905 2.2664999999999997
0.1305 2.1915 2.2275
0.1611 2.0995 2.2115
0.2865 2.0075 2.0484999999999998
0.16770000000000002 2.1654999999999998 2.2914999999999996
0.0032999999999999995 2.1165 1.9705
0.2643 2.2405 2.2645
0.2979 2.1795 2.2554999999999996
0.14129999999999998 1.8055 2.0925
0.2145 2.2615 1.9665
0.1551 2.1055 2.2735
0.0561 1.8715 2.0135
0.030899999999999997 1.8935 2.1685
0.026699999999999998 2.2725 2.2624999999999997
0.036899999999999995 1.9535 2.2245
0.1395 1.8955 2.1125
0.0975 2.2944999999999998 1.9455
0.033299999999999996 2.0495 2.2224999999999997
0.2985 2.0915 1.8625
0.012899999999999998 2.1635 2.2975
0.20550000000000002 2.1825 2.2815
0.2775 1.8035 1.8195000000000001
0.1725 1.8785 2.1635
0.18989999999999999 2.1845 1.9435
0.24689999999999998 1.9875 2.2714999999999996
0.29369999999999996 2.2714999999999996 2.1035
0.0591 1.8495 2.0725
0.2919 2.2384999999999997 2.2215
0.2769 2.1985 1.8135000000000001
0.24869999999999998 1.9735 2.1345
0.29069999999999996 2.0125 2.2655
0.2403 1.9165 2.1075
0.2421 2.1595 2.2634999999999996
0.1323 2.1854999999999998 2.2994999999999997
0.0087 1.8975 2.0524999999999998
0.1905 2.1315 2.2544999999999997
0.2961 1.8825 2.1965
0.1161 2.2984999999999998 2.0005
0.1923 1.9285 2.2864999999999998
0.1785 2.2904999999999998 2.1185
0.2859 1.9665 2.1464999999999996
0.12090000000000001 2.2375 2.2695
0.2253 2.2104999999999997 2.0625
0.2565 2.2435 2.0885
0.0423 2.2885 2.2075
0.2049 1.8695 1.8175000000000001
0.26489999999999997 1.8415 2.1085
0.0885 1.8115 1.9925
0.2355 2.0395 1.9285
0.0933 2.2215 2.2295
0.0699 2.0135 2.2405
0.25889999999999996 1.9645 2.0455
0.2505 2.2634999999999996 2.1765
0.2517 1.9655 1.9375
0.2955 1.8605 1.9335
0.08310000000000001 2.1105 2.2944999999999998
0.2781 2.1265 2.2474999999999996
0.0063 1.9825 2.1155
0.2805 1.8635 2.0555
0.2259 1.8335000000000001 2.1165
0.2787 1.9065 2.1315
0.2637 1.9005 2.2235
0.2223 1.9505 2.0535
0.2913 2.0635 2.2285
0.1575 2.1875 2.1835
0.0075 2.2224999999999997 2.2144999999999997
0.027899999999999998 1.8315000000000001 1.9304999999999999
0.1593 1.8405 2.0495
0.025500000000000002 1.8595 2.0995
0.2691 1.8775 2.2984999999999998
0.027299999999999998 2.1325 2.2485
0.2235 2.1085 2.2834999999999996
0.2667 2.1355 2.0035
0.2373 2.1005 1.8145
0.2625 1.8105 2.0395
0.24569999999999997 1.9495 1.8285
0.1455 1.8025 2.2424999999999997
0.1641 1.8675 1.8165
0.08789999999999999 1.8475 2.1995
0.0219 2.0854999999999997 2.2895
0.28409999999999996 2.0505 2.0985
0.2031 2.0895 2.2125
0.1263 2.0845 2.2384999999999997
0.1941 1.9695 1.8035
0.0105 1.8925 1.8935
0.0957 1.9075 2.2135
0.1293 1.8655 2.1975
0.2697 2.0275 2.1774999999999998
0.28769999999999996 2.2664999999999997 2.1654999999999998
0.2481 1.8945 2.1665
0.0795 2.2675 2.1935
0.26789999999999997 1.8815 1.8095
0.25589999999999996 2.0284999999999997 1.8665
0.0099 1.8165 2.0615
0.1665 1.9405000000000001 2.1214999999999997
0.2367 1.8255000000000001 2.2055
0.1971 2.1464999999999996 1.8115
0.2547 2.0575 2.0275
0.1845 2.1745 2.1355
0.29009999999999997 2.0795 2.1675
0.2991 2.2184999999999997 1.8815
0.2061 2.1544999999999996 2.1905
0.2331 1.8855 2.2805
0.2835 2.1965 2.0125
0.0633 1.9215 2.1845
0.1467 1.9205 2.1885
0.24449999999999997 2.1025 2.2315
0.2709 2.1445 2.0655
0.2571 1.8425 1.8555
0.2385 2.0484999999999998 2.2685
0.0135 1.8265 1.8725
0.2229 2.0175 2.1005
0.1035 1.8395000000000001 2.0895
0.0711 1.9515 2.2515
0.22169999999999998 2.0555 1.8675
0.1143 1.9135 2.2874999999999996
0.1605 1.9575 1.8525
0.2319 2.1814999999999998 1.8275000000000001
0.2607 2.0934999999999997 1.8635
0.2733 2.2155 2.1374999999999997
0.1683 1.8385 2.2775
0.2751 2.1494999999999997 1.8795
0.2613 1.8805 1.9515
0.1983 1.8725 2.2595
0.1653 2.1885 1.8415
0.1887 2.0204999999999997 1.8395000000000001
0.2289 1.9445 2.2255
0.22469999999999998 2.0015 1.8355000000000001
0.2013 2.0455 2.2575
0.17729999999999999 2.0925 1.8155000000000001
0.21209999999999998 1.8245 1.9755
0.2943 2.1645 2.1745
0.22769999999999999 2.2015 1.9745
0.1503 2.2735 2.1565
0.22949999999999998 2.0025 2.1875
0.2511 2.2935 1.9675
0.18209999999999998 1.8365 2.2155
0.29669999999999996 2.0985 2.0635
0.20789999999999997 1.8465 2.1704999999999997
0.2025 1.8915 2.1275
0.0453 2.0364999999999998 2.2965
0.29309999999999997 2.2744999999999997 1.9085
0.12449999999999999 1.9755 1.8455
0.22649999999999998 1.8285 2.0335
0.0231 2.0815 2.0825
0.1947 1.8275000000000001 2.0675
0.1539 1.9304999999999999 2.2754999999999996
0.015899999999999997 2.2055 2.1555
0.0495 2.2495 2.1595
0.1959 1.9925 2.2904999999999998
0.1485 2.2544999999999997 2.0965
0.12329999999999999 2.1685 2.1645
0.2337 2.0945 2.0645
0.0015 2.0084999999999997 1.9655
0.2313 1.8755 1.9135
0.1083 1.9184999999999999 2.1395
0.2205 2.1624999999999996 2.0225
0.2757 2.2464999999999997 1.9765
0.0039 1.9415 1.9945
0.0825 2.0475 2.2954999999999997
0.21989999999999998 1.8375000000000001 1.8655
0.28469999999999995 2.1195 2.1195
0.2715 2.2605 1.8065
0.10529999999999999 2.1145 2.1445
0.2673 2.2515 1.8685
0.2601 2.1574999999999998 2.1485
0.2115 2.0045 2.0265
0.2661 2.1905 1.9525
0.04409999999999999 1.9425 1.8015
0.17189999999999997 2.0755 2.1285
0.20070000000000002 1.9095 2.2024999999999997
0.2391 2.1094999999999997 2.1694999999999998
0.17909999999999998 1.9385 2.0604999999999998
0.0999 1.9015 2.0805
0.0765 1.9805 2.1814999999999998
0.0477 2.1694999999999998 2.2005
0.1911 1.9455 1.9165
0.0909 2.0835 2.2165
0.053099999999999994 1.8005 1.9735
0.2211 1.9375 2.1574999999999998
0.20729999999999998 2.1605 1.8705
0.1965 2.0295 2.1734999999999998
0.0225 1.8235000000000001 2.0025
0.1953 1.9785 2.1365
0.1881 2.0164999999999997 1.9365
0.0195 1.8845 1.9875
0.16590000000000002 2.2805 2.0444999999999998
0.1857 2.0385 1.9955
0.21569999999999998 1.9965 1.8965
0.2397 2.1505 1.9015
0.18689999999999998 2.0095 2.0835
0.06509999999999999 1.9175 2.1115
0.1191 2.0335 2.2885
0.1635 2.0195 2.2725
0.2271 1.9365 1.8995
0.1029 1.9795 2.2704999999999997
0.15990000000000001 2.0765 2.0215
0.2193 2.2874999999999996 1.9095
0.0735 2.1435 2.1624999999999996
0.1875 1.8555 1.8925
0.2181 1.9315 1.9605
0.047099999999999996 2.0185 2.1475
0.1569 2.0215 2.2104999999999997
0.12569999999999998 1.9435 2.2355
0.24629999999999996 2.2125 1.9035
0.024900000000000002 2.2504999999999997 2.0905
0.17009999999999997 2.2195 2.0585
0.1935 1.8735 2.0244999999999997
0.028499999999999998 1.9355 1.8585
0.07229999999999999 1.9765 1.8315000000000001
0.2163 2.2704999999999997 1.8085
0.17309999999999998 2.1254999999999997 1.9885
0.0549 2.0975 2.2035
0.1707 1.9915 2.0295
0.11249999999999999 1.9895 2.1985
0.0741 2.2655 1.8905
0.0345 2.0775 2.1544999999999996
0.0315 1.9335 2.0875
0.10110000000000001 2.0535 1.8215000000000001
0.1647 1.8045 1.8185
0.0417 1.8985 1.9385
0.0045 2.0715 2.0145
0.0483 1.8485 1.8615
0.0375 1.9845 2.0055
0.1275 1.8125 1.8265
0.12869999999999998 2.0345 1.9645
0.16290000000000002 2.2365 1.9985
0.1341 2.0244999999999997 2.1605
0.20969999999999997 2.2264999999999997 1.9105
0.08669999999999999 1.9045 1.8405
0.2103 2.1285 2.1334999999999997
0.1671 2.1065 1.8975
0.0327 2.1305 2.1205
0.0609 2.0825 2.0755
0.14609999999999998 1.9145 1.8985
0.2043 2.1334999999999997 2.0715
0.1149 2.2695 2.1265
