6863,933 0,0039156994
6873,903 0,0067009488
6883,893 0,0062614999
6893,923 0,0049541325
6903,983 0,00356804
6913,963 0,0038160219
6923,963 0,0030623846
6933,893 0,0025786135
6943,953 4,4751075E-4
6953,943 5,7045345E-5
6963,953 -7,0788526E-4
6974,003 -3,1743545E-4
6983,963 -3,2557681E-4
6993,943 -0,0013012561
7003,963 -0,0014906168
7013,903 -0,001921013
7023,983 -0,0032166155
7033,973 -0,0017417203
7043,993 -0,0037071978
7053,933 -0,004674049
7063,893 -0,0034196008
7073,893 -0,0040760585
7083,913 -0,0024867121
7093,963 -7,2612703E-4
7094,913 -0,0011283184
7095,393 -9,883325E-4
7095,863 -1,7259966E-4
7096,333 -7,2247309E-4
7096,813 -5,9953993E-4
7097,283 -1,9386598E-4
7097,763 -2,6836503E-4
7098,233 -4,6703639E-4
7098,713 0,0011873321
7099,183 5,9758536E-4
7099,663 6,316615E-4
7100,133 0,0012210938
7100,603 7,8755878E-4
7101,083 0,0011573059
7101,553 0,002533616
7102,033 0,0016040851
7102,503 0,0022488085
7102,983 0,0022898739
7103,453 0,0030945297
7103,933 0,0036129988
7104,403 0,0037243702
7104,883 0,0034505701
7105,363 0,0043177521
7105,833 0,0049645058
7106,313 0,0063416689
7106,783 0,0054651491
7107,263 0,0067727543
7107,733 0,0070642481
7108,213 0,0078613035
7108,683 0,0086688782
7109,163 0,0088923005
7109,643 0,010916747
7110,113 0,011840647
7110,593 0,013902357
7111,063 0,016373859
7111,543 0,020954545
7112,023 0,028796557
7112,493 0,039887014
7112,973 0,053608549
7113,453 0,061104552
7113,923 0,070693193
7114,403 0,076085256
7114,883 0,073629742
7115,353 0,068858212
7115,833 0,068499799
7116,313 0,068980256
7116,783 0,072345061
7117,263 0,07461672
7117,743 0,077238305
7118,223 0,080940185
7118,693 0,084302096
7119,173 0,092429284
7119,653 0,10334813
7120,123 0,1190813
7120,603 0,14046558
7121,083 0,16909381
7121,563 0,20854111
7122,033 0,2591206
7122,513 0,32085334
7122,993 0,39373993
7123,473 0,46492407
7123,953 0,52913931
7124,423 0,58686378
7124,903 0,64084033
7125,383 0,696366
7125,863 0,75942179
7126,343 0,82488093
7126,823 0,89417139
7127,293 0,95966659
7127,773 1,0224089
7128,253 1,080435
7128,733 1,136555
7129,213 1,1837653
7129,693 1,2192174
7130,173 1,2439657
7130,643 1,2563214
7131,123 1,2548177
7131,603 1,2678295
7132,083 1,2759291
7132,563 1,2946754
7133,043 1,3051774
7133,523 1,3223791
7134,003 1,3224144
7134,483 1,3155643
7134,963 1,3038377
7135,443 1,2846674
7135,923 1,2675113
7136,403 1,2441469
7136,883 1,2356011
7137,363 1,2215503
7137,843 1,2069906
7138,323 1,1932808
7138,803 1,181251
7139,283 1,1623097
7139,763 1,1476533
7140,243 1,1275265
7140,723 1,1104617
7141,203 1,0950406
7141,683 1,0793053
7142,163 1,0660496
7142,643 1,0531075
7143,123 1,0434411
7143,603 1,0350656
7144,083 1,0292595
7144,563 1,0224348
7145,043 1,0206365
7145,523 1,0180524
7146,003 1,0191961
7146,493 1,0207682
7146,973 1,0177486
7147,453 1,0201965
7147,933 1,0178772
7148,413 1,0185778
7148,893 1,011319
7149,373 1,0058273
7149,863 0,99819297
7150,343 0,9888571
7150,823 0,98036963
7151,303 0,97298328
7151,783 0,96135618
7152,263 0,95329544
7152,753 0,94421765
7153,233 0,93624628
7153,713 0,93229859
7154,193 0,92514349
7154,673 0,91652264
7155,163 0,91271104
7155,643 0,90335811
7156,123 0,8950071
7156,603 0,89086138
7157,093 0,88426397
7157,573 0,87693214
7158,053 0,87438673
7158,543 0,8664495
7159,023 0,86438645
7159,503 0,85776955
7159,983 0,85577245
7160,473 0,85427292
7160,953 0,85384071
7161,433 0,85462472
7161,923 0,85256984
7162,403 0,85468395
7162,883 0,85686418
7163,373 0,85847325
7163,853 0,86182687
7164,333 0,86364345
7164,823 0,86592783
7165,303 0,86786326
7165,793 0,87245706
7166,273 0,87512406
7166,753 0,87839047
7167,243 0,88211761
7167,723 0,88632712
7168,213 0,88921523
7168,693 0,89341811
7169,173 0,89868634
7169,663 0,90371011
7170,143 0,91119139
7170,633 0,91826601
7171,113 0,92609878
7171,603 0,93231747
7172,083 0,94036248
7172,573 0,94713877
7173,053 0,95446349
7173,543 0,96580214
7174,023 0,97269127
7174,513 0,98469372
7174,993 0,99454934
7175,483 1,0070455
7175,963 1,0159448
7176,453 1,0151062
7176,933 1,0236269
7177,423 1,0307871
7177,903 1,0360802
7178,393 1,0376728
7178,873 1,0431156
7179,363 1,0432665
7179,853 1,0480113
7180,333 1,0496201
7180,823 1,0528087
7181,303 1,0552676
7181,793 1,0546197
7182,283 1,0556359
7182,763 1,0561448
7183,253 1,0544513
7183,733 1,0533035
7184,223 1,0573352
7184,713 1,0567278
7185,193 1,0511549
7185,683 1,0527631
7186,173 1,0495139
7186,653 1,0520859
7187,143 1,0514946
7187,633 1,0502983
7188,123 1,0492795
7188,603 1,0529518
7189,093 1,0491484
7189,583 1,0496754
7190,063 1,0468564
7190,553 1,0461736
7191,043 1,0494817
7191,533 1,045661
7192,013 1,0430935
7192,503 1,0443218
7192,993 1,0434501
7193,483 1,044291
7193,963 1,0400449
7194,943 1,0372502
7196,773 1,029192
7198,603 1,0205635
7200,563 1,0153117
7202,393 1,0050654
7204,353 1,0011053
7206,303 0,99011476
7208,263 0,98448105
7210,223 0,98237553
7212,313 0,9822014
7214,273 0,980234
7216,353 0,98217416
7218,443 0,98397581
7220,533 0,98933403
7222,623 0,99175355
7224,713 0,99406226
7226,803 0,99408993
7229,023 0,99610226
7231,243 0,99410583
7233,463 0,99163848
7235,683 0,99132279
7237,903 0,99077113
7240,253 0,99332242
7242,483 0,99463607
7244,833 0,99205872
7247,183 0,99038884
7249,533 0,98563792
7251,893 0,98542401
7254,243 0,98151159
7256,733 0,98304658
7259,093 0,9892898
7261,573 0,99391147
7264,063 1,0029741
7266,553 1,0055842
7269,043 1,0088702
7271,663 1,0123102
7274,163 1,0158615
7276,783 1,0153655
7279,403 1,0190083
7282,033 1,0204383
7284,663 1,0240445
7287,283 1,0240643
7290,043 1,0219846
7292,683 1,0195923
7295,443 1,0192493
7298,203 1,0132368
7300,973 1,0121086
7303,733 1,0083854
7306,503 1,0022627
7309,403 0,99757748
7312,303 0,99397878
7315,083 0,9899993
7317,993 0,9872899
7320,893 0,98153012
7323,803 0,98009603
7326,843 0,98241927
7329,763 0,98456458
7332,803 0,99052916
7335,853 0,99868051
7338,903 1,00146
7341,953 1,0067754
7345,013 1,0097332
7348,063 1,0151977
7351,253 1,0105177
7354,313 1,0120849
7357,513 1,0090553
7360,703 1,0073878
7363,903 1,0044611
7367,113 1,0027014
7370,313 0,99929088
7373,653 0,99798084
7376,863 0,99409081
7380,203 0,9957171
7383,553 0,99602188
7386,893 0,99365324
7390,253 0,9943933
7393,603 0,99400589
7397,093 0,9968922
7400,453 0,99716833
7403,943 0,998892
7407,443 1,0025869
7410,943 1,0062526
7414,453 1,0066429
7417,963 1,0092143
7421,473 1,0092734
7425,113 1,0077274
7428,633 1,0058985
7432,283 1,0034028
7435,943 1,0023169
7439,603 1,0002218
7443,263 0,99584691
7446,933 0,99531485
7450,733 0,99461097
7454,413 0,99254449
7458,223 0,99441996
7462,033 0,99314657
7465,853 0,9939572
7469,673 0,99621953
7473,503 0,99788195
7477,333 0,99868139
7481,163 0,99995725
7485,133 1,000281
7488,983 0,99999002
7492,963 1,0010131
7496,943 1,0004248
7500,933 1,001181
7504,923 1,0004886
7508,923 0,9984422
7513,053 1,0021799
7517,063 1,0004183
7521,213 0,99777161
7525,353 0,99981055
7529,373 0,99938938
7533,533 0,9991469
7537,833 0,99764578
7542,003 0,99889667
7546,173 0,99863509
7550,353 0,99929222
7554,673 0,99924065
7558,993 0,99851158
7563,183 0,99830131
7567,523 0,99824023
7571,853 0,99833946
7576,333 0,99710963
7580,683 0,99833147
7585,043 0,99891945
7589,533 1,0000138
7593,903 0,99926397
7598,403 1,0004632
7602,913 0,99896353
7607,433 0,99939527
7611,953 0,99876412
7616,483 0,99831783
7621,023 0,99924938
7625,563 0,99930006
7630,243 1,0002515
7634,793 1,0000107
7639,483 1,0002244
7644,183 0,99888271
7648,893 0,99888466
7653,603 0,99901314
7658,323 0,99902065
7663,053 0,99845133
7667,783 0,99807378
7672,663 0,99790061
7677,403 0,9986077
7682,293 0,99771373
7687,183 0,9995284
7691,943 0,99917122
7696,853 1,0004985
7701,773 1,0005894
7706,693 1,000918
7711,763 1,0004844
7716,693 1,0010853
7721,633 1,0007693
7726,723 1,0013782
7731,823 1,0023399
7736,783 1,0004789
7741,893 1,0006978
7747,013 1,0015373
7752,133 0,99977596
7757,263 1,000096
7762,403 1,0000555
7767,693 0,99907538
7772,843 0,99987319
7778,143 0,99893064
7783,313 0,99952329
7788,623 1,0004147
7793,953 1,0010339
7799,143 1,0014222
7804,483 1,000944
7809,823 1,0025998
7815,183 1,0006685
7820,693 1,0013215
7826,063 1,0009915
7831,433 1,0014801
7836,973 1,0020545
7842,363 1,0007769
7847,913 1,0004168
7853,463 1,0006081
7859,033 1,0017948
7864,603 1,0002346
7870,183 1,0001346
7875,763 1,0002388
7881,363 0,99802767
7886,973 1,0000785
7892,583 0,99963923
7898,353 0,99854982
7903,983 1,0002197
7909,763 0,99984995
