nearCentralRingShift nearSideRingsShift nearSideRingsTurn remoteCentralRingShift remoteSideRingsShiftAdd remoteSideRingsTurn
-0.05499999999999999 0.10899999999999999 -6.4190000000000005 -0.179 0.241 -14.843
0.377 -0.28700000000000003 0.0070000000000014495 0.261 0.635 -7.229000000000001
-0.195 -0.40900000000000003 -12.844999999999999 -0.125 0.431 -13.331
-0.237 -0.305 -11.981 -0.29100000000000004 0.219 -16.625
0.367 -0.09100000000000003 -8.255 -0.017000000000000015 0.471 -5.446999999999999
0.017000000000000015 -0.15699999999999997 -13.007 -0.16499999999999998 0.339 -6.148999999999999
0.247 0.09899999999999998 -1.019000000000002 0.361 0.757 -16.787
-0.061 0.07499999999999996 3.9490000000000016 0.18700000000000006 0.853 2.7609999999999992
0.32299999999999995 0.139 -14.843 -0.199 0.673 -8.471
-0.275 0.061000000000000054 2.7070000000000007 0.17300000000000004 0.791 -17.759
0.09499999999999997 0.33699999999999997 -12.089 0.31299999999999994 0.039 -5.555
-0.299 -0.07100000000000001 -2.747 -0.04299999999999998 0.633 6.649000000000001
0.21699999999999997 0.10299999999999998 1.519000000000002 -0.09699999999999998 0.295 5.083000000000002
-0.17099999999999999 -0.08700000000000002 -3.664999999999999 0.253 0.177 -1.721
0.43300000000000005 0.22499999999999998 -11.495 -0.015000000000000013 0.931 1.897000000000002
-0.08300000000000002 0.09099999999999997 -2.692999999999998 -0.427 0.473 -6.257
-0.377 -0.315 -11.603 0.279 0.603 -2.908999999999999
0.241 -0.11299999999999999 -12.953 0.10499999999999998 0.651 3.247
-0.297 0.20899999999999996 1.735000000000003 0.399 0.235 -15.491
0.389 -0.08500000000000002 -7.984999999999999 0.363 0.613 0.8170000000000002
0.21899999999999997 -0.10699999999999998 -1.181000000000001 0.359 0.779 2.382999999999999
-0.28900000000000003 -0.019000000000000017 -14.033000000000001 -0.187 0.823 -17.867
-0.235 0.405 -0.9110000000000014 -0.251 0.093 -1.8290000000000006
0.23099999999999998 -0.22299999999999998 -8.363 0.30900000000000005 0.279 -0.3710000000000022
-0.351 -0.32899999999999996 -15.437 -0.315 0.719 3.5169999999999995
-0.451 -0.125 -6.743 -0.347 0.405 -7.823
-0.067 0.08299999999999996 -7.715 -0.431 0.607 -13.277000000000001
0.16700000000000004 -0.449 -16.948999999999998 -0.046999999999999986 0.829 -6.473000000000001
0.277 -0.455 -7.823 0.03500000000000003 0.189 -19.217
-0.20500000000000002 0.42700000000000005 -16.085 -0.439 0.533 -12.736999999999998
-0.429 0.43899999999999995 4.435000000000002 0.119 0.435 -17.219
0.44099999999999995 -0.461 2.382999999999999 -0.29500000000000004 0.091 -0.5869999999999997
0.42700000000000005 0.46099999999999997 -13.600999999999999 0.20099999999999996 0.929 -9.334999999999999
-0.019000000000000017 -0.29300000000000004 -9.875 -0.23299999999999998 0.567 -13.385
-0.365 -0.485 -5.122999999999999 0.14100000000000001 0.751 -16.841
-0.28700000000000003 -0.009000000000000008 -5.5009999999999994 -0.032999999999999974 0.967 -10.631
-0.40700000000000003 0.265 -19.649 0.46299999999999997 0.963 0.5470000000000006
0.33299999999999996 -0.345 -9.497 -0.16699999999999998 0.623 -18.947
0.495 0.16300000000000003 -3.125 0.269 0.749 -4.691000000000001
-0.367 -0.046999999999999986 -17.219 0.09299999999999997 0.373 -2.2070000000000007
-0.28500000000000003 0.119 0.16900000000000048 0.243 0.479 -5.5009999999999994
-0.323 -0.08100000000000002 -17.111 0.45699999999999996 0.349 -13.007
0.18500000000000005 -0.359 -8.687000000000001 0.237 0.127 -12.575
-0.40900000000000003 0.389 4.920999999999999 0.33099999999999996 0.555 -4.043000000000001
