CN	avgDist	stdDist	name	max_e	max_i	max_d2	efermi_e	efermi_slope	pca1	pca2	pca3	rel_pca1	rel_pca2	rel_pca3	min_e	min_i	min_d2	variation	polyn_a_0	polyn_a_1	polyn_a_2	polyn_a_3	polyn_b_0	polyn_b_1	polyn_b_2	polyn_b_3	min_e-max_e	max_min_slope
5.0	2.05062	0.14596472724600285	cn5_0	7136.413000000219	1.0305853156165106	-0.004496576793133755	7124.411456523752	0.6142563442093614	-11.96875867926674	-0.8754483260430332	0.002138409166027968	-11.999169295718458	0.0865667863141966	-0.16872921775039723	7160.112688703247	0.9233503006180399	0.00081158060242506	1.24187756230158	2.862446564914621	-6.699704284263552	5.183521664954466	-0.3102822831591182	2.862446564914621	-6.699704284263552	5.183521664954466	-0.3102822831591182	23.699688703028187	0.004524743609175292
5.0	2.08886	0.13143102525659606	cn5_1	7135.553000000221	1.0296717635343067	-0.005366837305675887	7124.317749643957	0.6267266370334617	-12.027486725422335	-0.7939439611393538	0.20242295287014714	-12.04457357024494	-0.14520711816031415	-0.2117505835461022	7156.5848999237	0.9197627088524314	0.0006389147088658968	1.2695796198949658	2.7261912178189713	-6.488133789779727	5.097176488392335	-0.29970771407932345	2.7261912178189713	-6.488133789779727	5.097176488392335	-0.29970771407932345	21.031899923478704	0.0052258262487821965
5.0	2.1332999999999998	0.18006793162581713	cn5_2	7135.333000000216	1.0180026147608372	-0.004769588297648397	7123.941809958345	0.6533036846554259	-12.015543690027023	-0.6061654455981801	0.2444548258322828	-11.989989294447057	-0.10299279324128463	-0.03992357375376463	7154.338882225322	0.9354938077485713	0.0002863566775249656	1.161870503303616	2.8067685352176173	-6.670249955063645	5.1840590887136075	-0.3023280217674804	2.8067685352176173	-6.670249955063645	5.1840590887136075	-0.3023280217674804	19.00588222510578	0.004341224786886036
5.0	2.1504199999999996	0.09428843831562812	cn5_3	7134.333000000215	1.04810288121015	-0.006544007893349857	7123.807522081893	0.7277441192671965	-12.197234503096317	-0.5493698802608772	0.5627756876530229	-12.161570082687577	-0.4166082884503195	-0.22068334877334553	7153.679821616919	0.9094770636802423	0.0007687472215980084	1.3696370611391568	2.9131146130684025	-6.805256502253641	5.232837667428177	-0.29698177986900137	2.9131146130684025	-6.805256502253641	5.232837667428177	-0.29698177986900137	19.346821616703892	0.007165301891770137
5.0	2.28938	0.1198256299795666	cn5_4	7132.733000000222	1.028503790825066	-0.007235118348880576	7123.06443718122	0.9038959286466535	-12.193070841549709	0.01645091318795854	0.8595437360142898	-12.090255086166207	-0.6878052588236684	0.12671123695716402	7147.079222188082	0.9063573403909686	0.0011980441985969602	1.3052200669264682	2.842613209817277	-6.811970781300589	5.255763365958293	-0.28631272515054756	2.842613209817277	-6.811970781300589	5.255763365958293	-0.28631272515054756	14.346222187859894	0.008514189229375005
5.0	2.1253400000000005	0.04747566113283722	cn5_5	7134.5330000002195	1.0571009355486103	-0.0067916135404466615	7123.9812806725795	0.7135602322077654	-12.206281591699325	-0.668674602587151	0.5233691830253483	-12.189642112188462	-0.4116289088274463	-0.34230062880073675	7155.151956715083	0.8981785042924457	0.0009952186826789368	1.438937975314661	3.00037177240462	-6.880084344260098	5.2431933938055835	-0.29887547708388934	3.00037177240462	-6.880084344260098	5.2431933938055835	-0.29887547708388934	20.61895671486309	0.007707588383538629
5.0	2.2438599999999997	0.10919832599449499	cn5_6	7133.263000000223	1.0334197370596123	-0.006925746001140709	7123.283755790696	0.859282980855762	-12.201344600191296	-0.16175577942000463	0.7995733014894261	-12.116808594536582	-0.614632141364242	0.051779772364874424	7148.597914410866	0.9085276920013712	0.0009877843154244964	1.3252430680421197	2.7567233573034904	-6.664244865109767	5.2005520143730894	-0.28709844997585193	2.7567233573034904	-6.664244865109767	5.2005520143730894	-0.28709844997585193	15.33491441064325	0.008144293584811885
5.0	2.02494	0.12464690288972283	cn5_7	7136.793000000216	1.0401359427807937	-0.00478625324040749	7124.813813414	0.5739753565865655	-11.934708918428818	-1.0515793042030739	-0.18284558885225335	-12.01509713355179	0.16166036349910531	-0.3347043715555086	7161.862666895071	0.9085228347503289	0.001115207637131231	1.3015891084984204	3.0781267134601555	-6.94402702197134	5.25066019730941	-0.31855365570373634	3.0781267134601555	-6.94402702197134	5.25066019730941	-0.31855365570373634	25.06966689485489	0.005249894567106356
5.0	1.9235399999999998	0.07898406421551109	cn5_8	7138.793000000218	1.054925127667556	-0.0041213628976244365	7125.709111210429	0.4700776174957899	-11.792370283108873	-1.3134287206880577	-0.7998589639984677	-12.00233318975575	0.6056833968603014	-0.45021829028599303	7166.690737063989	0.8908927994634723	0.0015670160553552886	1.3879672804410528	3.1263119383779805	-7.009938691300746	5.286524943424028	-0.3356244989319459	3.1263119383779805	-7.009938691300746	5.286524943424028	-0.3356244989319459	27.897737063771274	0.005879771819094972
5.0	2.28118	0.16706445941611878	cn5_9	7133.203000000221	1.0173505054307264	-0.0062101944076076165	7123.130596637033	0.8316265559245537	-12.17422998643812	-0.07412594475655807	0.66864588482492	-12.07041739026341	-0.4881186996985672	0.14427292675401052	7146.8039055497275	0.923317658562155	0.0009708047694569492	1.2024992448731044	2.942116683530376	-6.945880018160587	5.308290523707726	-0.29374928573477377	2.942116683530376	-6.945880018160587	5.308290523707726	-0.29374928573477377	13.600905549506024	0.006913719570090434
5.0	2.15782	0.03794909221575654	cn5_10	7134.10300000022	1.0472015394372927	-0.007037080380634109	7123.831956198078	0.7615491833677612	-12.18338229547642	-0.5384453036564132	0.6868851655839204	-12.152335989359232	-0.5514091672273181	-0.22693514561014025	7152.804549212055	0.8949915369557857	0.0009028783824272469	1.435683720429506	2.7234224395870505	-6.5026892486680765	5.1044506335386455	-0.287615502103532	2.7234224395870505	-6.5026892486680765	5.1044506335386455	-0.287615502103532	18.70154921183439	0.008138898053707126
