d12 phi1 psi r1
0.0474 149.1 6.65 1.9995
0.08860000000000001 138.78 11.41 1.9335
0.0322 173.46 43.19 2.0125
0.0698 171.66 30.45 2.1225
0.03900000000000001 130.26 44.03 2.1145
0.033800000000000004 148.98 38.99 1.9085
0.1466 128.46 30.03 2.0545
0.17820000000000003 153.9 14.489999999999998 1.8805
0.08940000000000001 162.06 18.970000000000002 2.0005
0.171 144.06 44.870000000000005 2.1875
0.025 153.42000000000002 59.71 1.9785
0.12660000000000002 146.34 12.25 1.8675
0.0626 170.34 41.37 1.9675
0.18300000000000002 138.3 9.17 1.9175
0.0478 154.26 53.27 1.9055
0.10420000000000001 164.34 60.83 1.8915
0.10460000000000001 166.26 25.97 2.2304999999999997
0.083 174.3 54.11 1.9495
0.1058 159.42000000000002 26.39 1.8875
0.10540000000000001 128.94 50.33 2.1045
0.0354 132.9 16.45 2.1025
0.07540000000000001 128.58 27.790000000000003 2.2595
0.1134 154.01999999999998 54.95 2.1685
0.0586 145.62 12.11 2.0135
0.12860000000000002 173.34 17.009999999999998 1.8985
0.0446 160.5 22.89 2.0655
0.062200000000000005 141.78 36.75 2.2415
0.0362 149.57999999999998 34.089999999999996 2.1174999999999997
0.1746 167.7 60.69 2.2535
0.1522 167.82 8.75 2.1885
0.17980000000000002 162.9 46.410000000000004 1.9135
0.0482 167.34 11.83 2.1365
0.12380000000000001 143.7 23.59 1.9825
0.05460000000000001 158.82 40.39 2.1294999999999997
0.07780000000000001 171.54 23.310000000000002 2.0175
0.15500000000000003 170.7 54.81 2.1585
0.141 131.1 37.59 2.1094999999999997
0.1426 144.42 15.61 2.0815
0.12140000000000001 151.98 63.910000000000004 1.9595
0.040600000000000004 150.42000000000002 27.09 1.9295
0.1182 139.26 33.25 2.1345
0.0514 140.1 58.309999999999995 2.0465
0.1658 139.38 51.87 2.0155
0.054200000000000005 143.34 10.43 2.2704999999999997
0.10820000000000002 132.54 14.629999999999999 1.9905
0.1898 128.7 28.07 2.1694999999999998
0.1582 151.62 53.97 1.9465
0.15780000000000002 146.94 21.349999999999998 1.8975
0.1194 138.54 8.469999999999999 1.9264999999999999
0.0618 136.98 56.77 1.8815
0.1458 162.3 39.69 1.9865
0.169 133.02 46.13 2.1624999999999996
0.06380000000000001 129.54 49.629999999999995 2.2344999999999997
0.0194 170.22 58.87 2.2075
0.0782 126.54 39.55 1.9705
0.047 136.26 9.87 2.0315
0.15380000000000002 139.74 61.25 1.8565
0.0038 140.82 28.77 2.0625
0.1642 160.02 65.72999999999999 2.0695
0.0594 147.3 7.21 2.0985
0.0302 157.74 61.39 2.1334999999999997
0.15980000000000003 161.82 24.01 1.9325
0.043000000000000003 123.42 47.95 1.9205
0.18660000000000002 132.66 32.27 1.9895
0.1754 123.9 21.21 1.9285
0.09140000000000001 150.54 31.57 1.9815
0.10620000000000002 175.5 53.410000000000004 1.8835
0.038200000000000005 152.46 45.43 1.9725
0.06860000000000001 128.22 29.33 2.0305
0.11699999999999999 165.42000000000002 48.37 1.8225
0.0574 124.86 7.35 2.1414999999999997
0.119 125.1 31.85 2.0025
0.1826 125.94 52.15 2.1115
0.15900000000000003 136.74 39.97 1.8995
0.19140000000000001 135.54 12.95 2.2325
0.0114 133.62 61.81 2.2205
0.189 174.54 10.85 2.0324999999999998
0.18700000000000003 176.22 57.05 2.1975
0.11220000000000002 155.34 25.27 2.1965
0.13740000000000002 143.1 23.87 1.8045
0.19540000000000002 167.94 53.83 2.1125
0.0262 141.9 56.21 1.8165
0.1198 140.34 67.97 1.8715
0.014199999999999999 164.46 47.25 2.2575
0.13260000000000002 150.3 41.51 2.1305
0.1298 133.38 19.39 2.1704999999999997
0.0882 157.5 4.69 1.8035
0.1018 123.66 13.65 1.8855
0.0454 178.26 17.57 2.2925
0.034999999999999996 176.57999999999998 10.99 1.8275000000000001
0.10060000000000001 137.94 22.75 2.0524999999999998
0.09060000000000001 140.22 59.01 2.1645
0.10740000000000001 161.22 59.29 2.2615
0.0814 175.38 20.93 2.1805
0.13660000000000003 161.34 49.489999999999995 2.2104999999999997
0.0086 127.98 29.189999999999998 1.9985
0.08100000000000002 141.66 57.61 1.9925
0.019000000000000003 129.06 47.81 2.1755
0.1382 174.06 65.86999999999999 2.1925
0.0762 160.26 2.87 2.2885
0.143 127.86 0.21 2.1445
0.07980000000000001 121.62 29.049999999999997 1.8455
0.0058000000000000005 155.57999999999998 48.79 1.8135000000000001
0.050600000000000006 127.5 1.05 1.9245
0.1806 169.38 41.65 1.9955
0.1178 145.86 60.269999999999996 2.2664999999999997
0.195 125.7 32.13 1.8645
0.191 160.74 14.07 2.2064999999999997
0.0206 121.26 39.83 1.8435
0.020200000000000003 176.34 37.45 1.8895
0.17700000000000002 165.9 48.65 2.2055
0.17300000000000001 173.57999999999998 66.28999999999999 2.1005
0.1202 178.98 8.33 1.8505
0.0918 123.06 28.63 2.1995
0.0242 122.58 45.01 2.2605
0.0006000000000000001 142.5 50.19 2.0425
0.16180000000000003 174.9 51.17 2.2714999999999996
0.1318 175.26 34.93 1.8395000000000001
0.0786 172.14 35.07 1.8305
0.1506 124.26 4.55 2.2394999999999996
0.0834 172.98000000000002 58.169999999999995 2.2445
0.15180000000000002 132.42 50.75 1.8085
0.1574 149.22 4.97 1.8695
0.0666 142.98 24.849999999999998 2.0065
0.1262 151.26 13.930000000000001 1.9635
0.1758 131.22 9.31 2.1155
0.0166 139.02 9.450000000000001 2.2085
0.06899999999999999 131.58 45.85 1.8515
0.0342 153.18 38.57 2.2975
0.0422 123.18 62.65 1.8495
0.1454 161.94 65.03 2.2775
0.060200000000000004 147.9 63.21 1.8905
0.125 169.62 67.69 2.0015
0.1386 134.46 15.19 2.2944999999999998
0.1922 163.38 36.61 2.0785
0.095 130.02 13.790000000000001 2.2095
0.051000000000000004 136.5 18.830000000000002 1.8095
0.025400000000000002 144.54 69.93 1.9525
0.15700000000000003 164.22 40.25 2.1355
0.1978 159.9 56.07 1.8485
0.027800000000000005 162.54 62.09 1.9605
0.0726 158.34 69.51 2.0665
0.07500000000000001 122.82 8.05 2.2904999999999998
0.06620000000000001 140.58 5.95 1.8415
0.13140000000000002 169.5 57.19 2.0805
0.1278 127.74 30.87 2.2504999999999997
0.0022 165.18 40.809999999999995 2.1134999999999997
0.1794 137.57999999999998 10.709999999999999 2.0195
0.1906 126.3 22.05 2.0265
0.1726 175.86 43.89 2.1065
0.015 124.74 5.25 1.8255000000000001
0.0398 127.62 7.07 2.2485
0.16060000000000002 122.1 17.71 2.2794999999999996
0.085 157.26 50.61 1.8525
0.1938 131.94 20.229999999999997 1.8025
0.1482 133.5 1.6099999999999999 1.8315000000000001
0.013000000000000001 126.42 7.7700000000000005 2.1675
0.13540000000000002 163.01999999999998 28.91 1.8575
0.1882 129.18 45.15 1.8295000000000001
0.18100000000000002 179.1 17.43 1.8935
0.09100000000000001 121.98 21.91 1.9695
0.1302 129.66 1.33 1.9965
0.0758 130.74 13.370000000000001 1.9435
0.0218 131.7 47.67 1.8465
