shift1 shift2
-0.1 -0.1
0.1 0.1
-0.06666666666666668 0.06666666666666668
0.0 -0.06666666666666668
0.06666666666666668 0.0
0.0 0.0
-0.1 0.0
0.1 0.0
0.0 -0.1
0.0 0.1
0.08620346319623101 -0.09189785776231307
-0.04293219491984132 -0.03248189744687752
0.050885651224074985 0.0677326619807353
0.09922330508185231 0.06099485415319975
0.033567694548116714 -0.033850670163058344
-0.054071952438008185 0.015298431377545788
0.07759191328703385 0.029397627405677425
0.0027064346720127707 0.04995450408397281
0.039116289717763465 -0.0900591305306836
0.0888405857520703 -0.044769387336935765
-0.008920543975850891 -0.033313065606523876
-0.049392817243340464 -0.0974770037940696
0.08015962911695626 0.08164694346101353
0.027480139791380826 0.08098446393626513
-0.09245321716836716 -0.05288125520890771
-0.028328538713666022 0.07425820731875679
