centralRings_Shift sideRings_Elong sideRings_Shift
0.1488000000000001 0.2576 0.2304000000000001
0.05600000000000005 -0.2304 0.20640000000000008
0.11360000000000003 -0.04959999999999998 0.38400000000000006
0.3888000000000001 -0.057599999999999985 -0.22559999999999997
0.32960000000000006 0.27999999999999997 -0.10559999999999997
0.176 -0.14079999999999998 -0.24
-0.07200000000000001 0.13440000000000007 0.20160000000000006
0.25920000000000004 5.551115123125783e-17 -0.184
0.04640000000000005 0.31840000000000007 0.03360000000000002
-0.18879999999999997 0.2816 0.43680000000000013
0.4080000000000001 -0.16959999999999997 -0.10239999999999999
-0.14239999999999997 0.05440000000000006 -0.16319999999999998
0.33280000000000004 0.16160000000000002 -0.008000000000000007
0.42240000000000005 0.2224000000000001 0.31360000000000005
-0.20959999999999998 0.4128000000000001 0.3152000000000001
-0.0464 0.3072000000000001 -0.028799999999999937
0.30560000000000004 0.33280000000000004 0.1824
0.20800000000000002 -0.2288 -0.0688
-0.24639999999999998 0.34880000000000005 0.12160000000000004
0.28320000000000006 0.08800000000000002 -0.2224
0.2896 -0.152 0.4192000000000001
-0.19679999999999997 0.2928 -0.1568
-0.052799999999999986 -0.064 0.01920000000000005
0.17920000000000003 -0.052799999999999986 0.10240000000000005
0.18560000000000004 0.3808000000000001 -0.011199999999999988
0.3168 -0.1344 0.09760000000000002
-0.14719999999999997 0.18720000000000003 0.2768
0.4624 -0.20959999999999998 0.3584
-0.04159999999999997 -0.07039999999999999 0.19840000000000002
-0.13279999999999997 0.4320000000000001 0.3856
0.288 0.3584 0.4096
-0.2176 0.18080000000000002 0.1744
-0.09279999999999997 0.3664 -0.22719999999999999
0.3824 -0.1568 -0.2448
0.2304000000000001 0.21600000000000003 0.192
0.07840000000000003 -0.054399999999999976 0.32480000000000003
-0.10399999999999998 0.15839999999999999 0.39840000000000003
-0.19519999999999998 -0.2432 0.08480000000000004
0.20960000000000006 0.04960000000000003 0.11680000000000007
0.3200000000000001 0.3824 0.2624
0.11040000000000005 0.45280000000000004 0.02560000000000001
0.4320000000000001 -0.022399999999999975 0.30240000000000006
0.008000000000000063 0.2848 0.3280000000000001
0.08000000000000002 0.40320000000000006 0.29760000000000003
-0.1104 0.3280000000000001 0.07360000000000005
0.25120000000000003 -0.11999999999999997 0.2272
0.39200000000000007 0.2688 -0.07999999999999996
0.4288000000000001 -0.059199999999999975 -0.14559999999999998
0.4176 0.07680000000000003 0.13440000000000007
0.38720000000000004 0.184 0.05760000000000004
0.07360000000000005 0.2144000000000001 0.2144000000000001
-0.035199999999999954 0.4240000000000001 -0.2496
0.16960000000000003 0.08960000000000001 0.24320000000000003
0.41440000000000005 -0.0031999999999999806 0.014400000000000024
0.3456000000000001 0.05600000000000005 0.3472000000000001
0.05440000000000006 0.14400000000000007 0.32160000000000005
0.12160000000000004 0.22880000000000006 -0.13119999999999998
-0.09439999999999998 0.1488000000000001 -0.08639999999999998
-0.2432 -0.06079999999999999 -0.14399999999999996
0.21600000000000003 -0.14239999999999997 -0.009599999999999997
0.37120000000000003 -0.23359999999999997 0.4000000000000001
-0.14559999999999998 -0.09119999999999998 0.25920000000000004
0.024000000000000077 0.04640000000000005 0.12480000000000008
0.009600000000000053 -0.020799999999999985 -0.052799999999999986
0.3152000000000001 -0.23199999999999998 0.2608
0.4272000000000001 0.2416000000000001 0.14400000000000007
-0.027199999999999946 0.192 0.45280000000000004
0.01760000000000006 0.012800000000000034 0.3424000000000001
-0.11679999999999996 0.03360000000000002 -0.04959999999999998
