nearSideRingsShift remoteCentralRingShift nearSideRingsTurn nearCentralRingShift remoteSideRingsShiftAdd remoteSideRingsTurn
0.13249999999999995 -0.3775 -0.08749999999999858 0.1875 0.8825 4.637499999999999
-0.4825 0.07750000000000001 4.232499999999998 0.0625 0.4025 3.9624999999999986
-0.3025 0.2875 0.047500000000002984 -0.1325 0.9175 -15.342500000000001
0.38249999999999995 -0.3325 -13.0475 0.0024999999999999467 0.4175 -4.407499999999999
0.38749999999999996 0.38749999999999996 -13.317499999999999 0.22750000000000004 0.0125 -7.9175
-0.27749999999999997 0.3375 -14.2625 -0.3775 0.9775 -5.7575
-0.16249999999999998 -0.3075 3.422500000000003 -0.4925 0.6125 -2.7875000000000014
0.2875 0.21250000000000002 2.0725000000000016 0.2825 0.9875 -3.192499999999999
-0.4275 0.007499999999999951 3.557500000000001 0.3225 0.6325 -12.7775
0.21750000000000003 0.49750000000000005 -2.3825000000000003 0.36750000000000005 0.9025 6.5275
0.4175 0.27749999999999997 -19.1225 0.49750000000000005 0.1325 -3.732499999999998
0.27249999999999996 0.48750000000000004 -13.9925 -0.4575 0.6475 -8.4575
-0.007500000000000007 -0.2925 -12.2375 0.3275 0.2375 3.017500000000002
-0.34750000000000003 0.08750000000000002 -5.7575 -0.07750000000000001 0.3575 6.932500000000001
0.36250000000000004 0.2975 1.8024999999999984 -0.3925 0.5775 -12.3725
0.48750000000000004 -0.02250000000000002 -11.8325 -0.4325 0.4275 -5.217500000000001
0.4675 -0.2475 -6.567500000000001 0.1975 0.6825 -9.6725
-0.3975 -0.3825 4.772500000000001 0.37749999999999995 0.6525 -16.6925
0.35250000000000004 0.01749999999999996 -4.272499999999999 0.04249999999999998 0.1675 2.7475000000000023
0.21250000000000002 0.39749999999999996 -3.327499999999997 0.13249999999999995 0.3425 2.6125000000000007
0.012499999999999956 0.3125 -2.7875000000000014 -0.02250000000000002 0.9975 -0.22250000000000014
-0.2825 0.13749999999999996 2.6125000000000007 0.4675 0.3025 4.0975
0.10250000000000004 -0.3125 -0.8975000000000009 0.2925 0.1825 -0.08749999999999858
0.0024999999999999467 0.14249999999999996 0.8574999999999982 0.2025 0.2575 -1.7074999999999996
-0.3125 -0.05249999999999999 -1.5725000000000016 -0.16749999999999998 0.0175 -12.102500000000001
-0.1275 -0.0025000000000000022 -8.727500000000001 0.23250000000000004 0.1875 -2.6525
-0.40249999999999997 -0.27749999999999997 -14.3975 0.39249999999999996 0.5225 -10.0775
-0.35250000000000004 0.35750000000000004 -15.342500000000001 -0.23249999999999998 0.2425 -13.0475
-0.27249999999999996 -0.04249999999999998 3.1525 0.3175 0.3275 -6.8375
