d1 d2 d3 d4 d5
0.399 0.14009999999999997 0.008400000000000019 0.17559999999999998 0.18359999999999999
0.227 -0.0009000000000000119 -0.034 0.09399999999999997 0.054800000000000015
0.265 0.1479 -0.06200000000000003 -0.15080000000000002 0.01880000000000001
0.927 0.1257 0.04119999999999999 -0.00520000000000001 0.09720000000000001
0.667 -0.0657 -0.1028 -0.00040000000000001146 -0.1372
0.499 -0.02550000000000001 0.027599999999999986 0.045999999999999985 -0.0916
0.459 -0.1257 -0.007599999999999996 0.012400000000000022 -0.1796
0.689 0.12150000000000002 0.15960000000000002 0.13879999999999998 -0.06359999999999999
0.669 -0.055499999999999994 -0.19 0.0388 0.17000000000000004
0.505 -0.0879 0.014000000000000012 -0.08280000000000001 0.021200000000000024
0.381 -0.0963 -0.0484 -0.04039999999999999 -0.07
0.357 -0.08549999999999999 0.13319999999999999 0.007599999999999996 -0.0572
0.765 -0.1065 -0.0628 -0.1612 0.1764
0.487 -0.08909999999999998 0.057999999999999996 0.194 0.12280000000000002
0.859 -0.1101 0.19 0.01720000000000002 -0.039599999999999996
0.027 0.09509999999999999 -0.002799999999999997 -0.1804 -0.008400000000000019
0.141 -0.007500000000000007 -0.08120000000000001 -0.1836 -0.04199999999999998
0.367 -0.020699999999999996 0.134 -0.02679999999999999 0.19640000000000002
0.187 0.1005 0.0020000000000000018 0.13319999999999999 -0.1684
0.299 0.0693 -0.08360000000000001 0.05720000000000003 -0.1532
0.815 0.04050000000000001 -0.18760000000000002 -0.1116 0.08839999999999998
0.849 -0.1293 0.12360000000000004 0.02040000000000003 -0.1388
0.879 0.011700000000000016 -0.154 -0.01479999999999998 0.1164
0.519 -0.12329999999999999 0.1476 -0.1652 -0.1044
0.551 -0.1335 -0.138 -0.06920000000000001 0.13479999999999998
0.369 0.1299 0.06040000000000001 -0.0068000000000000005 0.07480000000000003
0.905 -0.1251 0.032399999999999984 0.17880000000000001 0.08360000000000001
0.941 0.1227 -0.0524 0.126 -0.03
0.009 -0.09809999999999999 0.16760000000000003 -0.0988 -0.1196
0.743 0.10589999999999997 -0.019600000000000006 -0.0252 -0.1892
0.383 0.0759 0.11880000000000002 0.0812 -0.018799999999999983
0.821 -0.07229999999999999 -0.1356 -0.010800000000000004 0.10920000000000002
0.119 -0.0837 -0.0772 0.01880000000000001 -0.17880000000000001
0.579 -0.13169999999999998 0.11160000000000003 0.08279999999999998 -0.1764
0.523 0.1443 -0.14600000000000002 0.11160000000000003 0.138
0.679 -0.03209999999999999 -0.1396 0.10120000000000001 0.00520000000000001
0.737 0.033899999999999986 -0.0068000000000000005 0.17959999999999998 -0.1084
0.797 0.14069999999999996 -0.098 0.04039999999999999 -0.03560000000000002
0.887 0.018899999999999972 0.1884 -0.03 -0.14200000000000002
0.097 0.1293 -0.05880000000000002 -0.04999999999999999 -0.0708
0.143 0.1353 -0.0924 -0.158 -0.0796
0.799 0.007500000000000007 0.056400000000000006 0.00040000000000001146 -0.1428
0.081 0.13649999999999998 -0.1932 -0.08839999999999999 0.0484
0.163 0.01949999999999999 -0.0948 0.15640000000000004 -0.154
0.493 0.13110000000000002 0.17240000000000005 0.1916 -0.12840000000000001
0.635 0.005700000000000011 -0.08520000000000001 0.025199999999999972 -0.036400000000000016
0.529 -0.0927 -0.1988 0.09720000000000001 -0.08120000000000001
0.063 0.03870000000000001 0.09560000000000002 0.025999999999999968 -0.029200000000000004
0.339 -0.1359 0.039599999999999996 0.008400000000000019 -0.059600000000000014
0.683 -0.0063 0.18280000000000002 0.08679999999999999 -0.13640000000000002
0.857 -0.0843 0.15400000000000003 -0.094 0.10039999999999999
0.513 -0.0747 0.007599999999999996 0.16920000000000002 -0.01319999999999999
0.613 -0.11069999999999999 -0.186 -0.19080000000000003 0.04519999999999999
0.237 -0.060899999999999996 -0.1236 -0.04680000000000001 0.07080000000000003
0.215 -0.0189 -0.12040000000000001 -0.0676 -0.058000000000000024
0.175 -0.0885 -0.01319999999999999 0.06520000000000004 -0.098
0.243 0.1167 -0.15960000000000002 0.06680000000000003 -0.0988
0.725 0.1425 0.05720000000000003 -0.021199999999999997 0.17320000000000002
0.451 0.042899999999999994 0.17320000000000002 0.09799999999999998 0.1956
0.787 0.05789999999999998 -0.054800000000000015 0.08199999999999996 -0.17
0.159 -0.0969 -0.1196 0.1372 -0.05080000000000001
0.309 0.0009000000000000119 0.178 -0.045999999999999985 0.010000000000000009
0.035 -0.1083 -0.1812 -0.1948 -0.1396
0.933 0.02729999999999999 -0.194 0.14840000000000003 0.14840000000000003
0.031 0.04770000000000002 0.13079999999999997 -0.1196 0.10520000000000002
0.899 0.11129999999999998 0.07879999999999998 0.07799999999999996 -0.06040000000000001
0.421 0.06089999999999998 0.14840000000000003 -0.1516 0.0436
0.395 -0.021300000000000013 0.006000000000000005 -0.19240000000000002 -0.021199999999999997
0.655 -0.0819 0.1764 -0.126 0.010800000000000004
0.877 -0.1353 -0.1452 -0.1708 0.12200000000000005
0.739 0.022499999999999992 -0.07880000000000001 -0.13080000000000003 -0.166
0.107 -0.1161 0.16920000000000002 -0.08600000000000002 -0.015600000000000003
0.329 0.12750000000000003 -0.039599999999999996 0.1612 -0.0116
0.809 0.01770000000000002 0.09160000000000001 0.16840000000000005 -0.1716
0.889 -0.1341 -0.07640000000000001 -0.03160000000000002 0.016400000000000026
0.021 0.005099999999999993 0.19480000000000003 0.021200000000000024 0.033999999999999975
0.723 -0.014100000000000001 -0.04519999999999999 0.06840000000000002 -0.13
0.385 0.06989999999999999 0.045999999999999985 0.12280000000000002 -0.0932
0.605 -0.0435 0.14279999999999998 0.1412 0.04680000000000001
